#    angle	    s11	            s12            s33           s34
   166.5000       6.318608      -1.415001      -3.227078       5.244859    
   167.5000       7.780368      -1.642357      -5.309302       5.445007    
   168.5000       9.505584      -1.765670      -7.594624       5.436932    
   169.5000       11.45182      -1.789490      -10.02835       5.232028    
   170.5000       13.56399      -1.723408      -12.54862       4.852185    
   171.5000       15.77647      -1.581382      -15.08842       4.328512    
   172.5000       18.01592      -1.380852      -17.57783       3.699544    
   173.5000       20.20444      -1.141682      -19.94648       3.008988    
   174.5000       22.26312     -0.8849716      -22.12597       2.303212    
   175.5000       24.11565     -0.6317682      -24.05230       1.628570    
   176.5000       25.69192     -0.4019012      -25.66817       1.028685    
   177.5000       26.93130     -0.2128048      -26.92501      0.5419464    
   178.5000       27.78562     -7.8507423E-02  -27.78479      0.1992874    
   179.5000       28.22136     -8.8291168E-03  -28.22135      2.2378922E-02
